GEO.id,Id
HC03_EST_VC05,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC03_MOE_VC05,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC04_EST_VC05,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC04_MOE_VC05,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC05_EST_VC05,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC05_MOE_VC05,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC06_EST_VC05,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC06_MOE_VC05,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 1990 to 1999
HC01_EST_VC06,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC01_MOE_VC06,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC02_EST_VC06,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC02_MOE_VC06,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC03_EST_VC06,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC03_MOE_VC06,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC04_EST_VC06,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC04_MOE_VC06,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC05_EST_VC06,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC05_MOE_VC06,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC06_EST_VC06,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC06_MOE_VC06,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered before 1990
HC01_EST_VC07,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC01_MOE_VC07,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC02_EST_VC07,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC02_MOE_VC07,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC03_EST_VC07,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC03_MOE_VC07,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC04_EST_VC07,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC04_MOE_VC07,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC05_EST_VC07,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC05_MOE_VC07,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC06_EST_VC07,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC06_MOE_VC07,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen
HC01_EST_VC08,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC01_MOE_VC08,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC02_EST_VC08,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC02_MOE_VC08,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC03_EST_VC08,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC03_MOE_VC08,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC04_EST_VC08,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC04_MOE_VC08,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC05_EST_VC08,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC05_MOE_VC08,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC06_EST_VC08,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC06_MOE_VC08,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 2000 or later
HC01_EST_VC09,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC01_MOE_VC09,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC02_EST_VC09,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC02_MOE_VC09,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC03_EST_VC09,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC03_MOE_VC09,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC04_EST_VC09,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC04_MOE_VC09,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC05_EST_VC09,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC05_MOE_VC09,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC06_EST_VC09,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC06_MOE_VC09,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered 1990 to 1999
HC01_EST_VC10,Total; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC01_MOE_VC10,Total; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC02_EST_VC10,Foreign born; Born in Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC02_MOE_VC10,Foreign born; Born in Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC03_EST_VC10,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC03_MOE_VC10,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC04_EST_VC10,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC04_MOE_VC10,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC05_EST_VC10,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC05_MOE_VC10,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC06_EST_VC10,Foreign born; Born in Western Asia; Estimate; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC06_MOE_VC10,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - CITIZENSHIP AND PERIOD OF ENTRY - Not a citizen - Entered before 1990
HC01_EST_VC12,Total; Estimate; Foreign-born population - SEX AND AGE - Male
HC01_MOE_VC12,Total; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC02_EST_VC12,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - Male
HC02_MOE_VC12,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC03_EST_VC12,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Male
HC03_MOE_VC12,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC04_EST_VC12,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - Male
HC04_MOE_VC12,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC05_EST_VC12,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Male
HC05_MOE_VC12,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC06_EST_VC12,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - Male
HC06_MOE_VC12,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - Male
HC01_EST_VC13,Total; Estimate; Foreign-born population - SEX AND AGE - Female
HC01_MOE_VC13,Total; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC02_EST_VC13,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - Female
HC02_MOE_VC13,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC03_EST_VC13,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Female
HC03_MOE_VC13,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC04_EST_VC13,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - Female
HC04_MOE_VC13,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC05_EST_VC13,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Female
HC05_MOE_VC13,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC06_EST_VC13,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - Female
HC06_MOE_VC13,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - Female
HC01_EST_VC14,Total; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC01_MOE_VC14,Total; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC02_EST_VC14,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC02_MOE_VC14,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC03_EST_VC14,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC03_MOE_VC14,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC04_EST_VC14,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC04_MOE_VC14,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC05_EST_VC14,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC05_MOE_VC14,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC06_EST_VC14,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - Under 5 years
HC06_MOE_VC14,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - Under 5 years
HC01_EST_VC15,Total; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC01_MOE_VC15,Total; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC02_EST_VC15,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC02_MOE_VC15,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC03_EST_VC15,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC03_MOE_VC15,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC04_EST_VC15,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC04_MOE_VC15,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC05_EST_VC15,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC05_MOE_VC15,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC06_EST_VC15,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - 5 to 17 years
HC06_MOE_VC15,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - 5 to 17 years
HC01_EST_VC16,Total; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC01_MOE_VC16,Total; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC02_EST_VC16,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC02_MOE_VC16,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC03_EST_VC16,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC03_MOE_VC16,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC04_EST_VC16,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC04_MOE_VC16,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC05_EST_VC16,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC05_MOE_VC16,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC06_EST_VC16,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - 18 to 24 years
HC06_MOE_VC16,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - 18 to 24 years
HC01_EST_VC17,Total; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC01_MOE_VC17,Total; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC02_EST_VC17,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC02_MOE_VC17,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC03_EST_VC17,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC03_MOE_VC17,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC04_EST_VC17,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC04_MOE_VC17,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC05_EST_VC17,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC05_MOE_VC17,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC06_EST_VC17,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - 25 to 44 years
HC06_MOE_VC17,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - 25 to 44 years
HC01_EST_VC18,Total; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC01_MOE_VC18,Total; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC02_EST_VC18,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC02_MOE_VC18,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC03_EST_VC18,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC03_MOE_VC18,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC04_EST_VC18,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC04_MOE_VC18,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC05_EST_VC18,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC05_MOE_VC18,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC06_EST_VC18,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - 45 to 54 years
HC06_MOE_VC18,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - 45 to 54 years
HC01_EST_VC19,Total; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC01_MOE_VC19,Total; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC02_EST_VC19,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC02_MOE_VC19,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC03_EST_VC19,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC03_MOE_VC19,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC04_EST_VC19,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC04_MOE_VC19,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC05_EST_VC19,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC05_MOE_VC19,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC06_EST_VC19,Foreign born; Born in Western Asia; Estimate; Foreign-born population - SEX AND AGE - 55 to 64 years
HC06_MOE_VC19,Foreign born; Born in Western Asia; Margin of Error; Foreign-born population - SEX AND AGE - 55 to 64 years
HC01_EST_VC20,Total; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC01_MOE_VC20,Total; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC02_EST_VC20,Foreign born; Born in Asia; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC02_MOE_VC20,Foreign born; Born in Asia; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC03_EST_VC20,Foreign born; Born in Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC03_MOE_VC20,Foreign born; Born in Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC04_EST_VC20,Foreign born; Born in South Central Asia; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC04_MOE_VC20,Foreign born; Born in South Central Asia; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
HC05_EST_VC20,Foreign born; Born in South Eastern Asia; Estimate; Foreign-born population - SEX AND AGE - 65 to 74 years
HC05_MOE_VC20,Foreign born; Born in South Eastern Asia; Margin of Error; Foreign-born population - SEX AND AGE - 65 to 74 years
