"total_number","percentage_less_than_very_well","percentage_very_well","population_very_well","year","country"
1154316,0.641,0.359,414399.444,2017,"Dominican Republic"
601818,0.578,0.422,253967.196,2007,"Colombia"
597585,0.557,0.443,264730.155,2008,"Colombia"
607568,0.562,0.438,266114.784,2009,"Colombia"
634410,0.546,0.454,288022.14,2010,"Colombia"
656925,0.533,0.467,306783.975,2011,"Colombia"
674526,0.525,0.475,320399.85,2012,"Colombia"
675067,0.513,0.487,328757.629,2013,"Colombia"
704144,0.534,0.466,328131.104,2014,"Colombia"
695369,0.518,0.482,335167.858,2015,"Colombia"
701614,0.539,0.461,323444.054,2016,"Colombia"
780547,0.531,0.469,366076.543,2017,"Colombia"
741609,0.021,0.979,726035.211,2017,"Jamaica"
734087,0.02,0.98,719405.26,2016,"Jamaica"
708435,0.015,0.985,697808.475,2015,"Jamaica"
703584,0.015,0.985,693030.24,2014,"Jamaica"
713634,0.019,0.981,700074.954,2013,"Jamaica"
678241,0.016,0.984,667389.144,2012,"Jamaica"
695229,0.017,0.983,683410.107,2011,"Jamaica"
657613,0.017,0.983,646433.579,2010,"Jamaica"
649782,0.017,0.983,638735.706,2009,"Jamaica"
635170,0.02,0.98,622466.6,2008,"Jamaica"
595317,0.016,0.984,585791.928,2007,"Jamaica"
